command	usage	visible_children
fugue completion fish	fugue completion fish [flags]	-
fugue completion powershell	fugue completion powershell [flags]	-
fugue completion zsh	fugue completion zsh [flags]	-
fugue console	fugue console [flags]	-
fugue data	fugue data [command]	backend,clone,doctor,evict,gc,grant,init,pull,push,snapshot,status,track,transfer,untrack,workspace
fugue data backend	fugue data backend [command]	create,delete,ls,migrate,rollback,rotate-credentials,show
fugue data backend create	fugue data backend create <name> [flags]	-
fugue data backend delete	fugue data backend delete <backend> [flags]	-
fugue data backend ls	fugue data backend ls [flags]	-
fugue data backend migrate	fugue data backend migrate <workspace> <target-backend> [flags]	-
fugue data backend rollback	fugue data backend rollback <workspace> <migration-transfer-id> [flags]	-
fugue data backend rotate-credentials	fugue data backend rotate-credentials <backend> [flags]	-
fugue data backend show	fugue data backend show <backend> [flags]	-
fugue data clone	fugue data clone <workspace> [flags]	-
fugue data doctor	fugue data doctor [flags]	-
fugue data evict	fugue data evict [asset...] [flags]	-
fugue data gc	fugue data gc [command]	sweep
fugue data gc sweep	fugue data gc sweep [workspace] [flags]	-
fugue data grant	fugue data grant [command]	create,revoke
fugue data grant create	fugue data grant create [workspace] [flags]	-
fugue data grant revoke	fugue data grant revoke <grant-id> [flags]	-
fugue data init	fugue data init [flags]	-
fugue data pull	fugue data pull [asset-or-path...] [flags]	-
fugue data push	fugue data push [flags]	-
fugue data snapshot	fugue data snapshot [command]	diff,ls,show
fugue data snapshot diff	fugue data snapshot diff <from-version> <to-version> [flags]	-
fugue data snapshot ls	fugue data snapshot ls [flags]	-
fugue data snapshot show	fugue data snapshot show <version> [flags]	-
fugue data status	fugue data status [flags]	-
fugue data track	fugue data track <path> [path...] [flags]	-
fugue data transfer	fugue data transfer [command]	cancel,ls,resume,show,watch
fugue data transfer cancel	fugue data transfer cancel <transfer-id> [flags]	-
fugue data transfer ls	fugue data transfer ls [flags]	-
fugue data transfer resume	fugue data transfer resume <transfer-id> [flags]	-
fugue data transfer show	fugue data transfer show <transfer-id> [flags]	-
fugue data transfer watch	fugue data transfer watch <transfer-id> [flags]	-
fugue data untrack	fugue data untrack <asset-or-path> [flags]	-
fugue data workspace	fugue data workspace [command]	access,ls,set-backend,share,show,unshare,use
fugue data workspace access	fugue data workspace access [command]	ls
fugue data workspace access ls	fugue data workspace access ls <workspace> [flags]	-
fugue data workspace ls	fugue data workspace ls [flags]	-
fugue data workspace set-backend	fugue data workspace set-backend <workspace> <backend> [flags]	-
fugue data workspace share	fugue data workspace share <workspace> [flags]	-
fugue data workspace show	fugue data workspace show [workspace] [flags]	-
fugue data workspace unshare	fugue data workspace unshare <workspace> [flags]	-
fugue data workspace use	fugue data workspace use <workspace> [flags]	-
fugue debug	fugue debug [command]	bundle
fugue debug bundle	fugue debug bundle <app> [flags]	-
fugue deploy	fugue deploy [path] [flags]	github,image,inspect
fugue deploy github	fugue deploy github <repo-or-url> [flags]	-
fugue deploy image	fugue deploy image <image-ref> [flags]	-
fugue deploy inspect	fugue deploy inspect [path-or-repo] [flags]	github
fugue deploy inspect github	fugue deploy inspect github <repo-or-url> [flags]	-
fugue diagnose	fugue diagnose [command]	fs,timing
fugue diagnose fs	fugue diagnose fs <app> [flags]	-
fugue diagnose timing	fugue diagnose timing -- <fugue command...> [flags]	-
fugue dns	fugue dns [command]	record,zone
fugue dns record	fugue dns record [command]	add,delete,diagnose,edit,ls
fugue dns record add	fugue dns record add <zone> <name> <type> <value...> [flags]	-
fugue dns record delete	fugue dns record delete <zone> <record-id-or-name> [flags]	-
fugue dns record diagnose	fugue dns record diagnose <zone> <record-id-or-name> [flags]	-
fugue dns record edit	fugue dns record edit <zone> <record-id-or-name> [flags]	-
fugue dns record ls	fugue dns record ls <zone> [flags]	-
fugue dns zone	fugue dns zone [command]	add,delete,ls,preflight,show
fugue dns zone add	fugue dns zone add <zone> [flags]	-
fugue dns zone delete	fugue dns zone delete <zone> [flags]	-
fugue dns zone ls	fugue dns zone ls [flags]	-
fugue dns zone preflight	fugue dns zone preflight <zone> [flags]	-
fugue dns zone show	fugue dns zone show <zone> [flags]	-
fugue find	fugue find <query> [flags]	-
fugue logs	fugue logs [command]	collect,query
fugue logs collect	fugue logs collect <app> [flags]	-
fugue logs query	fugue logs query <app> [flags]	-
fugue operation	fugue operation [command]	audit,debug-bundle,evidence,explain,ls,show,timeline,watch
fugue operation audit	fugue operation audit [flags]	-
fugue operation debug-bundle	fugue operation debug-bundle <operation> [flags]	-
fugue operation evidence	fugue operation evidence <operation> [flags]	-
fugue operation explain	fugue operation explain <operation> [flags]	-
fugue operation ls	fugue operation ls [flags]	-
fugue operation show	fugue operation show <operation> [flags]	-
fugue operation timeline	fugue operation timeline <operation> [flags]	-
fugue operation watch	fugue operation watch [operation] [flags]	-
fugue project	fugue project [command]	apps,create,delete,edit,images,ls,meta,move,ops,overview,routes,runtimes,split,verify,watch
fugue project apps	fugue project apps <project> [flags]	-
fugue project create	fugue project create <name> [flags]	-
fugue project delete	fugue project delete <project> [flags]	-
fugue project edit	fugue project edit <project> [new-name] [flags]	-
fugue project images	fugue project images [command]	usage
fugue project images usage	fugue project images usage [project] [flags]	-
fugue project ls	fugue project ls [flags]	-
fugue project meta	fugue project meta <project> [flags]	-
fugue project move	fugue project move <project> [flags]	-
fugue project ops	fugue project ops <project> [flags]	-
fugue project overview	fugue project overview [project] [flags]	-
fugue project routes	fugue project routes [command]	apply,delete,show
fugue project routes apply	fugue project routes apply <project> [flags]	-
fugue project routes delete	fugue project routes delete <project> [flags]	-
fugue project routes show	fugue project routes show <project> [flags]	-
fugue project runtimes	fugue project runtimes [command]	add,ls,remove
fugue project runtimes add	fugue project runtimes add <project> [flags]	-
fugue project runtimes ls	fugue project runtimes ls <project> [flags]	-
fugue project runtimes remove	fugue project runtimes remove <project> [flags]	-
fugue project split	fugue project split <project> [flags]	plan
fugue project split plan	fugue project split plan <project> [flags]	-
fugue project verify	fugue project verify <project> [flags]	-
fugue project watch	fugue project watch [project] [flags]	-
fugue runtime	fugue runtime [command]	doctor,enroll,ls,show
fugue runtime doctor	fugue runtime doctor <runtime> [flags]	-
fugue runtime enroll	fugue runtime enroll [command]	create,ls
fugue runtime enroll create	fugue runtime enroll create <label> [flags]	-
fugue runtime enroll ls	fugue runtime enroll ls [flags]	-
fugue runtime ls	fugue runtime ls [flags]	-
fugue runtime show	fugue runtime show <runtime> [flags]	-
fugue service	fugue service [command]	delete,localize,ls,move,move-project,postgres,resume,show,suspend
fugue service delete	fugue service delete <service> [flags]	-
fugue service localize	fugue service localize <service> [flags]	-
fugue service ls	fugue service ls [flags]	-
fugue service move	fugue service move <service> [flags]	-
fugue service move-project	fugue service move-project <service> [flags]	-
fugue service postgres	fugue service postgres [command]	create,orphan
fugue service postgres create	fugue service postgres create <name> [flags]	-
fugue service postgres orphan	fugue service postgres orphan [command]	adopt,ls
fugue service postgres orphan adopt	fugue service postgres orphan adopt <app-id> [flags]	-
fugue service postgres orphan ls	fugue service postgres orphan ls [flags]	-
fugue service resume	fugue service resume <service> [flags]	-
fugue service show	fugue service show <service> [flags]	-
fugue service suspend	fugue service suspend <service> [flags]	-
fugue source-upload	fugue source-upload [command]	download,show
fugue source-upload download	fugue source-upload download <upload-id> [flags]	-
fugue source-upload show	fugue source-upload show <upload-id> [flags]	-
fugue ssh-key	fugue ssh-key [command]	add,ls,rm
fugue ssh-key add	fugue ssh-key add <public-key-file-or-key> [flags]	-
fugue ssh-key ls	fugue ssh-key ls [flags]	-
fugue ssh-key rm	fugue ssh-key rm <key> [flags]	-
fugue tenant	fugue tenant [command]	ls
fugue tenant ls	fugue tenant ls [flags]	-
fugue upgrade	fugue upgrade [flags]	-
fugue version	fugue version [flags]	-
fugue web	fugue web [command]	diagnose
fugue web diagnose	fugue web diagnose [method] <page-or-path> [flags]	-
fugue workflow	fugue workflow [command]	run
fugue workflow run	fugue workflow run <workflow-file> [flags]	-
